Name;Type;Faction;Number;Cost;Wincon;Health;Suspicion;Mystery;Stability;Tool Activation;Stamina;Basic Text
"Hudson, The Prey Stalker";"Hero - Hunter";"H";"47/288";"";"Claim 5 Monsters";"";"";"";"";"";"";"-"
"Hazel, The Meatgrinder";"Hero - Hunter";"H";"46/288";"";"Claim 6 Monsters";"";"";"";"";"";"";"Retainers you control enter with 1 stamina, but reduce 2 more health"
"Harlem, the Trophy Hunter";"Hero - Hunter";"H";"45/288";"";"Claim 3 Monsters, each with a different category.";"";"";"";"";"";"";"At the start of the adventure phase, one monster of your choice with no categories of monsters in your victory pool loses 1 health."
"Talia, Ace Trainer";"Hero - Tamer";"T";"51/288";"";"Claim 3 monsters, each with a different category.";"";"";"";"";"";"";"-"
"Tobias, Calamity Controller";"Hero - Tamer";"T";"53/288";"";"Claim 1 ancient monster";"";"";"";"";"";"";"For each monster in your Victory Pool, Tools you activate cost 1 less track."
"Tharan, Herding Druid";"Hero - Tamer";"T";"52/288";"";"Claim 3 monsters that share a category.";"";"";"";"";"";"";"Once per round, when a retainer is assigned to a monster that shares a category with one of your claimed monsters, you may assign that retainer to a different monster instead."
"Rowen, Specimen Collector";"Hero - Researcher";"R";"50/288";"";"Claim 3 monsters that share a category.";"";"";"";"";"";"";"-"
"Rose, Ruin Researcher";"Hero - Researcher";"R";"49/288";"";"Claim 1 ancient monster";"";"";"";"";"";"";"Whenever you claim a monster, draw a card."
"Rafael, Ghostwriter";"Hero - Researcher";"R";"48/288";"";"Claim 3 monsters, each with a different category.";"";"";"";"";"";"";"Whenever an opponent gains tracks, except during the tracking step, you gain the same amount of tracks. This effect only triggers once per effect each round."
"Calvin, Rising Chaos";"Hero - Cultist";"C";"42/288";"";"Have claimed at least 2 more monsters than any other player.";"";"";"";"";"";"";"-"
"Camila, Resourceful Leader";"Hero - Cultist";"C";"43/288";"";"Claim 6 monsters";"";"";"";"";"";"";"Whenever a retainer is discarded from anywhere add one track"
"Charlie, One with Destruction";"Hero - Cultist";"C";"44/288";"";"Claim 1 ancient monster";"";"";"";"";"";"";"For each monster in your victory pool, retainers enter with 1 more stamina."
"Allessio, Wandering Bard";"Hero - None";"";"41/288";"";"Claim 7 monsters";"";"";"";"";"";"";"When you choose this hero, choose 1 main faction for it. Additionally choose a second faction. You can use cards of both chosen factions in your expedition deck."
"???";"Monster - Ancient";"";"1/288";"";"";"11";"11";"11";"11";"";"";"When this monster enters the wild, for each expedition card in the wilds, a random player takes it over."
"Anklebiter";"Monster - Plant";"";"2/288";"";"";"4";"6";"4";"6";"";"";"Retainers being assigned to this monster immediately exhaust 1 but do not exhaust in the resolution of the adventure phase."
"Antree";"Monster - Arcane Plant Beast";"";"3/288";"";"";"3";"3";"3";"3";"";"";"Retainers assigned to this monster do not exhaust in the resolution of the adventure phase."
"Briar Rose";"Monster - Plant";"";"4/288";"";"";"5";"5";"5";"5";"";"";"When claiming this monster, target retainer gains one stamina"
"Centispore";"Monster - Plant Spore";"";"5/288";"";"";"6";"5";"5";"4";"";"";"When this monster enters the wilds, each other plant monster in the wilds gains 1 health and loses 1 stability"
"Cockatrice";"Monster - Mineral Beast";"";"6/288";"";"";"4";"5";"4";"5";"";"";"Whenever a retainer is assigned to this monster, that retainer can not be assigned to any monster next round."
"Crystalhorn";"Monster - Arcane Mineral Beast";"";"7/288";"";"";"5";"8";"6";"8";"";"";"When claiming this monster, decrease the suspicion of each other monster by 2."
"Cutting Cloud";"Monster - Arcane Mineral";"";"8/288";"";"";"5";"5";"6";"4";"";"";"When claiming this monster exhaust one retainer."
"Emerald Croaker";"Monster - Beast Mineral";"";"9/288";"";"";"5";"5";"5";"5";"";"";"When claiming this monster, draw a card."
"Emperor of Ash";"Monster - Ancient Arcane Beast";"";"10/288";"";"";"12";"10";"10";"10";"";"";"While this monster is in the wilds, all tools are canceled."
"Fiddlecap ";"Monster - Arcane Spore";"";"11/288";"";"";"4";"4";"4";"4";"";"";"While this monster is in the wilds, whenever a player assigns a retainer to a different monster, flip a coin, if tails, the retainer is not assigned and can't be assigned this round."
"Flamenester";"Monster - Beast Arcane";"";"12/288";"";"";"7";"7";"7";"7";"";"";"When claiming this monster, return up to one retainer from your discard pile to your hand."
"Floc";"Monster - Beast";"";"13/288";"";"";"6";"5";"7";"6";"";"";"This monster's stats can not be reduced by more than 1 at a time."
"Freemason";"Monster - Mineral";"";"14/288";"";"";"5";"5";"7";"4";"";"";"When claiming this monster, decrease the mystery of each other monster by 2."
"Georelle Mushroom";"Monster - Mineral Spore";"";"15/288";"";"";"4";"5";"6";"4";"";"";"When claiming this monster by health or stability, draw a card."
"Geysier";"Monster - Arcane";"";"16/288";"";"";"3";"3";"3";"3";"";"";"Whenever a stat on this monster is reduced, reduce the same stat of all other monsters in the wild by 1."
"Gjeperkre";"Monster - Beast";"";"17/288";"";"";"3";"3";"3";"3";"";"";"When this monster enters the wilds, increase all stats on all other monsters in the wilds by 1."
"Helping Shelf";"Monster - Spore";"";"18/288";"";"";"5";"4";"4";"6";"";"";"When claiming this monster by suspicion or mystery, draw a card."
"Hydranita";"Monster - Ancient Spore";"";"19/288";"";"";"8";"8";"10";"8";"";"";"At the end of each adventure phase, increase this monster stats by 2 each."
"Mastchief";"Monster - Beast Arcane";"";"20/288";"";"";"5";"5";"6";"4";"";"";"When a retainer is assigned to this monster, flip a coin, on tails, the retainers controller has to choose a different monster to assign that retainer to."
"Metalformer";"Monster - Arcane Mineral";"";"21/288";"";"";"4";"4";"4";"4";"";"";"When this monster enters the wilds, for each of its stats, where another monster in the wilds has that stat higher than this monster, increase this monsters stat by 2."
"Mirrormaker";"Monster - Mineral Beast";"";"22/288";"";"";"4";"4";"4";"4";"";"";"This monster has all effects of all other non-ancient monsters in the wilds."
"Misfortune";"Monster - Beast";"";"23/288";"";"";"4";"4";"5";"8";"";"";"When claiming this monster, decrease the stability of each other monster by 2."
"Mountainlice";"Monster - Beast";"";"24/288";"";"";"6";"6";"6";"6";"";"";"When claiming this monster, you may increase the stamina of a retainer by 1."
"Muscletoe";"Monster - Plant";"";"25/288";"";"";"5";"5";"4";"6";"";"";"When this monster enters the wilds, all other monsters in the wilds lose 1 health and gain 1 stability."
"Olead Tree";"Monster - Mineral Plant";"";"26/288";"";"";"6";"4";"4";"6";"";"";"When claiming this monster, decrease the health of each other monster by 2."
"Orchid Stinger";"Monster - Beast Plant";"";"27/288";"";"";"5";"7";"5";"5";"";"";"While this monster is in the wilds, whenever a monster has health reduced, increase this monsters health by 1."
"Pumbelball Mushroom";"Monster - Spore";"";"28/288";"";"";"4";"5";"5";"6";"";"";"When claiming this monster, exhaust target retainer."
"River Troll";"Monster - Mineral";"";"29/288";"";"";"5";"6";"6";"8";"";"";"At the start of the adventure phase, switch this monster's health and stability."
"Ruby Corgiceps";"Monster - Beast Mineral Spore";"";"30/288";"";"";"5";"6";"5";"4";"";"";"When claiming this monster, increase one non 0 stat on a different monster."
"Sailors Grave";"Monster - Ancient Plant";"";"31/288";"";"";"10";"12";"10";"10";"";"";"When this monster enters the wilds, exhaust all retainers in the wilds."
"Saltcoil";"Monster - Mineral";"";"32/288";"";"";"5";"4";"5";"6";"";"";"When claiming this monster, discard target biome."
"Silkstone Tunneler";"Monster - Mineral Beast";"";"33/288";"";"";"5";"5";"6";"5";"";"";"This monster's stats can not be reduced by more than 2 at a time."
"Slagmaw";"Monster - Ancient Mineral";"";"34/288";"";"";"10";"10";"10";"12";"";"";"While this monster is in the wilds, all biomes are canceled."
"Sparker";"Monster - Arcane";"";"35/288";"";"";"4";"6";"5";"5";"";"";"When this monster enters the wilds, until the end of the next round, if a retainer would be assigned, prevent that."
"Symbolwing";"Monster - Arcane Beast";"";"36/288";"";"";"4";"5";"6";"5";"";"";"While this monster is in the wilds, event cards cost 1 track more."
"Syren Kelp";"Monster - Arcane Plant";"";"37/288";"";"";"4";"6";"6";"4";"";"";"While this monster is in the wilds, whenever a player assigns a retainer to a different monster, flip a coin, if tails, the retainer is assigned to this monster instead."
"Thumper";"Monster - Mineral";"";"38/288";"";"";"6";"6";"6";"6";"";"";"When claiming this monster, discard target retainer."
"Trifodocus";"Monster - Beast Plant";"";"39/288";"";"";"7";"5";"4";"5";"";"";"While this monster is in the wilds, retainers being assigned to other monsters lose 1 extra stamina."
"Wallscuttler";"Monster - Plant Beast";"";"40/288";"";"";"5";"4";"5";"6";"";"";"When claiming this monster, you may place one tool card from your hand face down in the wilds."
"Bear Trap";"Disposable Tool";"H";"62/288";"0";"";"";"";"";"";"In the main phase";"";"Target monster gets -2 health."
"Careless Researcher";"Retainer";"R";"81/288";"2";"";"-1";"0";"-1";"0";"";"3";"When this retainer is discarded, draw a card."
"Clever Management";"Event";"R";"88/288";"2";"";"";"";"";"";"";"";"Discard a card.
Add 3 tracks."
"Conservation Notice";"Event";"T";"91/288";"2";"";"";"";"";"";"";"";"No retainer can be assigned to target monster this round."
"Crazy Clown";"Retainer";"HTRC";"103/288";"3";"";"0";"0";"0";"0";"";"4";"When this retainer is assigned, one of its modifiers is increased by 1 and one is lowered by 1 randomly."
"Disassembly Kit";"Disposable Tool";"T";"113/288";"2";"";"";"";"";"";"When another player uses a tool";"";"Cancel that tool, then discard that tool."
"Energetic Hunt";"Event";"H";"120/288";"1";"";"";"";"";"";"";"";"Target retainer does not lose stamina this round."
"Fake Trap";"Disposable Tool";"HTRC";"127/288";"1";"";"";"";"";"";"-";"";"Gain 2 tracks."
"Fun-Fighter";"Retainer";"HTRC";"149/288";"3";"";"0";"0";"0";"0";"";"3";"Retainers can't be assigned to monsters this retainer is assigned to."
"Gathering Spy";"Retainer";"HTRC";"151/288";"3";"";"0";"0";"0";"0";"";"3";"When this retainer enters the wilds, choose one stat modifier. It becomes -1. Then choose an opponent, that opponent takes over this retainer.Whenever this retainer is assigned, its owner may draw a card"
"Helpful Spy";"Retainer";"HTRC";"159/288";"2";"";"0";"0";"0";"0";"";"3";"When this retainer enters the wilds, choose two stat modifiers. They become -1. Then choose an opponent, that opponent takes over this retainer."
"Hobby Monster Watcher";"Retainer";"HTRC";"160/288";"1";"";"0";"0";"0";"0";"";"3";"-"
"Hunting Grounds";"Biome";"H";"164/288";"3";"";"";"";"";"";"";"";"Retainers you control have an additional -1 health."
"Indecisive Master";"Retainer";"HTRC";"167/288";"4";"";"-2";"-2";"-2";"-2";"";"4";"-"
"Migration Pattern Analyser";"Tool";"R";"185/288";"2";"";"";"";"";"";"At the beginning of the discovery phase";"";"Look at the top 3 monsters of the monster deck and put them back in any order.Then reset this tool."
"Misty Ritual Grounds";"Biome";"C";"190/288";"4";"";"";"";"";"";"";"";"Whenever a monster's stats other than stability are reduced for the first time each round, its stability is also reduced by 1."
"Monster Park";"Biome";"T";"193/288";"4";"";"";"";"";"";"";"";"The suspicion of monsters in the wilds is warded."
"Monster Scarecrow";"Disposable Tool";"HTRC";"194/288";"2";"";"";"";"";"";"When a retainer is assigned";"";"Unassign that retainer."
"Novice Hunter";"Retainer";"H";"199/288";"1";"";"-2";"0";"-1";"-1";"";"2";"-"
"Null-Field";"Biome";"HTRC";"200/288";"4";"";"";"";"";"";"";"";"While this biome is in the wilds, cancel all other biomes in the wilds."
"Quick Interference";"Event";"HTRC";"211/288";"2";"";"";"";"";"";"";"";"Increase one of the stats of a monster by 1."
"Recycling";"Event";"HTRC";"218/288";"2";"";"";"";"";"";"";"";"Take a tool card from your discard pile back into your hand."
"Reorganizing";"Event";"HTRC";"219/288";"1";"";"";"";"";"";"";"";"Discard a card, then draw a card."
"Replicated Biotope";"Biome";"R";"220/288";"5";"";"";"";"";"";"";"";"After the adventure phase each monster loses 1 mystery."
"Restricted Zone";"Biome";"HTRC";"226/288";"5";"";"";"";"";"";"";"";"Whenever a stat of a monster is reduced, it is reduced by 1 less."
"Rowdy Manipulator";"Retainer";"C";"234/288";"1";"";"+1";"+1";"+1";"0";"";"3";"-"
"Sacrificial Dagger";"Disposable Tool";"C";"236/288";"1";"";"";"";"";"";"During the adventure phase";"";"Exhaust target retainer."
"Scorched Earth";"Event";"HTRC";"242/288";"3";"";"";"";"";"";"";"";"Discard target biome."
"Steady Work";"Event";"HTRC";"255/288";"2";"";"";"";"";"";"";"";"Reduce one of the stats of a monster by 1."
"Tracking Spy";"Retainer";"HTRC";"267/288";"3";"";"0";"0";"0";"0";"";"3";"When this retainer enters the wilds, choose one stat modifier. It becomes -1. Then choose an opponent, that opponent takes over this retainer.Whenever this retainer is assigned, its owner gains 2 tracks."
"Unfinished Job";"Event";"C";"277/288";"3";"";"";"";"";"";"";"";"Return target retainer from any discard pile to the wilds under your control with 1 stamina."
"Unsure Civilian";"Retainer";"HTRC";"279/288";"2";"";"-1";"-1";"-1";"-1";"";"3";"-"
"Young Tamer";"Retainer";"T";"288/288";"2";"";"0";"-1";"-1";"0";"";"3";"-"
"Hunt Instructor";"Retainer";"H";"162/288";"3";"";"-1";"0";"0";"0";"";"3";"Other retainers under your control, that are assigned to the same monster have an additional -1 health."
"Eager Slayer";"Retainer";"H";"117/288";"2";"";"-2";"0";"0";"-1";"";"2";"-"
"Careful Hunter";"Retainer";"H";"79/288";"2";"";"-1";"0";"0";"0";"";"5";"-"
"Uncooperative Striker";"Retainer";"H";"274/288";"2";"";"-2";"0";"0";"0";"";"4";"Other retainers assigned to the same monster as this card, lose 1 extra stamina at the end of the adventure phase."
"Careless Hunter";"Retainer";"H";"80/288";"1";"";"-2";"0";"0";"0";"";"2";"-"
"Kid Hunter";"Retainer";"H";"170/288";"1";"";"-1";"0";"0";"0";"";"2";"-"
"Hot-Head";"Retainer";"H";"161/288";"1";"";"-1";"0";"-1";"0";"";"3";"You have to assign this retainer, if able."
"Flag Bearer";"Retainer";"H";"138/288";"1";"";"0";"0";"0";"0";"";"1";"If all of this retainers modifiers are 0, they can't exhaust."
"One-Hit Wonder";"Retainer";"H";"201/288";"4";"";"-5";"0";"0";"0";"";"1";"At the end of the adventure phase, discard this card."
"Chaos Sower";"Retainer";"C";"86/288";"2";"";"0";"0";"0";"-1";"";"3";"-"
"Rage Inducer";"Retainer";"C";"213/288";"2";"";"0";"+1";"0";"-1";"";"3";"-"
"Mutation Specialist";"Retainer";"C";"198/288";"2";"";"0";"0";"+1";"-1";"";"3";"-"
"Growth Manipulator";"Retainer";"C";"157/288";"2";"";"+1";"0";"0";"-1";"";"3";"-"
"Backstabber";"Retainer";"C";"60/288";"3";"";"0";"0";"0";"-1";"";"3";"Other retainers, you don't control, assigned to the same monster as this card, lose 1 extra stamina at the end of the adventure phase"
"Untrustworthy Guide";"Retainer";"C";"280/288";"4";"";"0";"0";"0";"-2";"";"3";"When you assign this retainer to a monster, you may assign one retainer assigned to that monster to another monster."
"Scheeming Helper";"Retainer";"C";"241/288";"2";"";"0";"0";"-1";"-1";"";"4";"When you discard this retainer from the wilds, add one event card from your discard pile to your hand."
"Friendly Researcher";"Retainer";"R";"148/288";"2";"";"0";"-1";"-1";"0";"";"3";"-"
"Tracking Biologist";"Retainer";"R";"265/288";"3";"";"0";"0";"-1";"0";"";"3";"When this retainer enters, you gain 1 track. "
"Sample Collector";"Retainer";"R";"237/288";"5";"";"0";"0";"-1";"-1";"";"3";"Whenever this retainer reduces a monster's mystery, draw a card."
"Quick Researcher";"Retainer";"R";"212/288";"1";"";"0";"0";"-1";"0";"";"2";"-"
"Preservering Wanderer";"Retainer";"R";"208/288";"5";"";"0";"0";"-1";"0";"";"8";"-"
"Peer Reviewer";"Retainer";"R";"204/288";"4";"";"0";"0";"0";"0";"";"4";"Other retainers assigned to the same monster as this retainer do not exhaust at the end of the adventure phase."
"Support Researcher";"Retainer";"R";"258/288";"4";"";"0";"-1";"-1";"0";"";"4";"When this retainer exhausts, you may have target retainer gain 1 stamina."
"Go-Tamer";"Retainer";"T";"154/288";"1";"";"0";"-1";"0";"0";"";"2";"-"
"Rare Species Collector";"Retainer";"HT";"214/288";"3";"";"-2";"-2";"0";"0";"";"3";"-"
"Gatekeeper";"Retainer";"T";"150/288";"2";"";"0";"-2";"0";"0";"";"3";"While this retainer is assigned to a monster, when a retainer is assigned to that monster, if another retainer controlled by that retainer's controller is already assigned to it, prevent that assignment."
"Manipulation Referee";"Retainer";"T";"183/288";"2";"";"0";"-1";"-1";"0";"";"2";"While this retainer is assigned to a monster, that monster is warded."
"Energy Suppressor";"Retainer";"T";"121/288";"3";"";"0";"-2";"0";"-1";"";"3";"When this retainer is assigned to a monster, cancel that monster for the remainder of this round."
"Equal Chance Advocator";"Retainer";"T";"122/288";"4";"";"0";"-1";"0";"0";"";"4";"Retainers assigned to the same monster as this retainer, are canceled."
"Track Obscurer";"Retainer";"T";"264/288";"4";"";"0";"-1";"0";"0";"";"4";"Assigning retainers to the monster this retainer is assigned to costs 1 track."
"Fixated Tamer";"Retainer";"T";"137/288";"2";"";"0";"-2";"0";"0";"";"3";"When this retainer enters choose a monster in the wilds. This retainer can only be assigned to that monster. When the chosen monster leaves the wilds, discard this card."
"Last Stand";"Event";"H";"174/288";"2";"";"";"";"";"";"";"";"Discard a retainer you control, if you do target monster loses 4 health."
"Reckless Charge";"Event";"H";"216/288";"6";"";"";"";"";"";"";"";"Retainers you control modify the stats of monsters twice this round. At the end of the adventure phase, exhaust each retainer you control."
"Tranq. Ammunition";"Disposable Tool";"H";"269/288";"1";"";"";"";"";"";"When you could claim a monster";"";"You can claim a monster for health even if it still has 1 health left."
"Capture Sphere";"Disposable Tool";"HT";"78/288";"2";"";"";"";"";"";"When a monster's suspicion or health become 0";"";"Immediately claim that monster."
"Scare Tactics";"Event";"H";"240/288";"2";"";"";"";"";"";"";"";"Shuffle target monster that has entered the wilds last round back into the monster deck, than reveal a new monster from the monster deck and put it into the wilds."
